Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
LG,4.3,20,32,HD,2,1,16599
Panasonic,4.1,20,43,Full HD,3,2,50666
Panasonic,4.4,20,43,Ultra HD 4K,3,2,35999
LG,4.3,20,43,Full HD,2,1,25999
TCL,4.3,0,32,HD,2,1,13659
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
PHILIPS,4.1,12,32,Full HD,2,1,13999
Haier,4.3,20,43,Full HD,3,2,28890
iFFALCON,4.2,30,75,Ultra HD 4K,3,2,149999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
Sanyo,3.9,20,49,Ultra HD 4K,3,2,39999
LG,4.5,20,49,Ultra HD 4K,3,2,45136
Haier,4.3,20,50,Ultra HD 4K,4,2,43999
SAMSUNG,4.3,10,32,HD,2,1,14999
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,76999
SAMSUNG,4.4,40,43,Full HD,2,1,32999
TOSHIBA,4.2,24,43,Full HD,2,2,26999
SAMSUNG,4.4,20,32,HD,2,1,17499
IMPEX,3.7,16,39,HD,2,2,21369
Vu,4.2,24,43,Full HD,2,2,25490
LG,4.2,20,43,Full HD,3,2,34999
SAMSUNG,3.9,20,43,Full HD,3,1,31990
JVC,4,20,32,HD,1,2,10999
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
LG,4.4,35,32,HD,3,1,23800
SAMSUNG,4.3,20,50,Ultra HD 4K,2,1,63900
iFFALCON,4.4,20,65,Ultra HD 4K,3,2,57999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
TCL,4.3,20,43,Full HD,2,1,25890
SONY,4.3,0,43,Ultra HD 4K,2,2,50999
SONY,4.4,20,65,Ultra HD 4K,4,2,107999
ONIDA,4.1,16,43,Full HD,3,2,28999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
TCL,4.2,0,50,Ultra HD 4K,3,1,38990
SONY,4.7,10,40,Full HD,2,2,35299
SAMSUNG,4.4,20,32,HD,2,1,16999
Compaq,4.6,24,65,Ultra HD 4K,3,2,99999
SONY,4.3,0,43,Ultra HD 4K,2,2,67999
SONY,4.5,20,49,Ultra HD 4K,4,2,75490
SAMSUNG,4.4,20,32,HD,2,1,17499
SAMSUNG,3.9,20,50,Ultra HD 4K,3,2,74990
SAMSUNG,4,40,32,HD,2,1,26900
SAMSUNG,5,40,55,Ultra HD 4K,4,3,274900
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
PHILIPS,1.8,20,50,Full HD,3,3,67000
SONY,4.4,8,32,Full HD,2,2,28606
PHILIPS,5,20,65,Ultra HD 4K,2,1,78999
SAMSUNG,5,40,55,Ultra HD 4K,4,2,154900
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
SONY,4.8,10,55,Ultra HD 4K,4,3,99990
SAMSUNG,4.5,40,43,Full HD,2,1,38990
MOTOROLA,4.3,20,43,Ultra HD 4K,3,2,29999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
SAMSUNG,4.3,10,32,HD,2,1,22499
SAMSUNG,4.2,60,55,Ultra HD 4K,4,3,344900
Micromax,4.4,16,49,Full HD,3,2,65990
Panasonic,4.3,20,32,HD,2,2,16999
LG,4.5,20,32,HD,3,2,22990
SAMSUNG,4.4,20,32,HD,2,1,16999
Vu,4.4,30,55,Ultra HD 4K,3,2,48390
SAMSUNG,4.8,20,55,Ultra HD 4K,3,2,89990
SAMSUNG,4.4,20,32,HD,2,1,17499
PHILIPS,2.8,20,50,Full HD,4,2,45999
LG,4.6,40,55,Ultra HD 4K,4,3,79999
CloudWalker,4.2,20,39,Full HD,2,2,11999
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
SONY,4.5,20,50,Full HD,2,2,55799
Weston,4.7,24,55,Ultra HD 4K,3,2,39999
iFFALCON,4.3,16,55,Ultra HD 4K,4,2,36999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
LG,4.7,40,55,Ultra HD 4K,4,3,159999
SAMSUNG,4.3,40,43,Full HD,2,1,39999
SAMSUNG,4.6,40,55,Ultra HD 4K,4,3,84999
SONY,4.5,20,49,Ultra HD 4K,3,3,60999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
SONY,4.8,60,65,Ultra HD 4K,4,3,179999
SAMSUNG,4.4,20,32,HD,2,1,16999
Compaq,4.6,24,55,Ultra HD 4K,4,2,59999
SAMSUNG,3.6,60,55,Ultra HD 4K,4,3,284900
SONY,4.6,20,49,Ultra HD 4K,3,2,64990
SAMSUNG,4.2,14,43,Full HD,3,1,48900
SAMSUNG,4.4,20,32,HD,2,1,17499
SAMSUNG,4.6,20,49,Ultra HD 4K,3,2,64499
Sansui,4.3,20,55,Ultra HD 4K,3,2,42999
Onix,4.3,16,43,Full HD,2,2,19990
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Vu,4.5,50,85,Ultra HD 4K,4,2,279999
SAMSUNG,4.7,20,65,Ultra HD 4K,3,2,294900
Sansui,4.3,20,55,Ultra HD 4K,3,3,119990
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
CloudWalker,4.1,16,50,Full HD,2,2,42989
Micromax,4.3,24,32,HD,2,2,19105
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
TCL,4.4,30,65,Ultra HD 4K,3,2,88499
LG,4.7,20,65,Ultra HD 4K,3,2,96999
SAMSUNG,4.4,20,32,HD,2,1,17499
SAMSUNG,4.6,20,65,Ultra HD 4K,2,1,85999
LG,4.4,20,49,Full HD,2,1,68990
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Sansui,3.7,20,55,Ultra HD 4K,3,2,69200
Micromax,4.3,20,32,HD,1,2,12399
Panasonic,4.4,20,49,Ultra HD 4K,3,2,46999
SONY,5,98,65,Ultra HD 4K,4,3,469999
SAMSUNG,3.9,20,50,Ultra HD 4K,3,2,64990
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
Mi,4.4,20,65,Ultra HD 4K,3,3,71999
PHILIPS,4.1,0,32,HD,2,1,13959
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
SAMSUNG,3.6,20,32,HD,2,1,16609
Panasonic,4.3,16,32,Full HD,3,2,22541
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,105999
SAMSUNG,4.4,20,32,HD,2,1,16999
KODAK,4.4,24,50,Ultra HD 4K,3,2,31999
SAMSUNG,4.1,10,32,HD,2,1,26999
SAMSUNG,4.4,20,32,HD,2,1,17499
Micromax,4.3,20,50,Full HD,2,2,66990
Vu,4.4,40,43,Ultra HD 4K,3,2,32999
SAMSUNG,4.4,40,49,Ultra HD 4K,4,2,129900
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
SAMSUNG,4.7,20,49,Full HD,3,2,86900
Panasonic,4.4,35,49,Full HD,2,1,51999
SONY,4.7,60,65,Ultra HD 4K,4,3,149999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
LG,4.3,20,55,Ultra HD 4K,2,1,64999
Panasonic,4.3,35,43,Full HD,2,1,50900
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
iFFALCON,4.4,16,65,Ultra HD 4K,4,2,59999
LG,4.3,20,43,Full HD,1,1,35999
SAMSUNG,4.4,20,32,HD,2,1,16999
Panasonic,4,10,43,Full HD,2,1,48900
LG,4.4,40,65,Ultra HD 4K,4,3,189999
CloudWalker,4,8,43,Full HD,2,2,21999
Blaupunkt,4,30,49,Ultra HD 4K,2,2,25999
SONY,3.7,20,55,Ultra HD 4K,4,3,109999
SAMSUNG,4.4,20,32,HD,2,1,17499
Intex,4.2,20,43,Full HD,2,2,35999
SAMSUNG,4.7,20,49,Ultra HD 4K,4,2,93999
Panasonic,4.4,10,32,HD,1,1,27399
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Panasonic,4.5,35,43,Full HD,3,2,53999
SONY,4.6,0,55,Ultra HD 4K,2,1,68900
SAMSUNG,3.9,20,43,Ultra HD 4K,3,2,61990
TCL,3.9,16,55,Ultra HD 4K,3,2,47499
SAMSUNG,5,40,65,Ultra HD 4K,3,2,178999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
SAMSUNG,3.9,20,43,Full HD,2,2,62900
Lloyd,4.8,0,32,HD,2,2,19000
SAMSUNG,4.5,20,55,Ultra HD 4K,3,2,104900
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
Panasonic,4.5,20,58,Full HD,3,2,60999
Haier,4,20,32,HD,3,2,18990
Thomson,4.4,24,40,Full HD,3,2,19499
SAMSUNG,3,40,55,Ultra HD 4K,4,3,204900
SONY,3.8,40,55,Ultra HD 4K,4,3,144990
SAMSUNG,4.4,20,32,HD,2,1,16999
LG,4.1,20,55,Full HD,3,2,103900
CloudWalker,4.1,16,55,Ultra HD 4K,3,2,36999
SAMSUNG,4.4,20,32,HD,2,1,17499
Micromax,4,16,50,Full HD,2,2,64990
PHILIPS,3.8,16,42,Full HD,2,1,42000
SONY,4.4,20,43,Full HD,2,2,41799
SAMSUNG,4.3,20,32,HD,2,1,19599
TCL,4.3,16,55,Ultra HD 4K,3,2,55499
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
SAMSUNG,4.5,20,55,Ultra HD 4K,2,1,60990
SONY,4.3,20,55,Ultra HD 4K,4,2,84990
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
SAMSUNG,4.8,20,55,Ultra HD 4K,3,2,89990
LG,4.3,20,49,Ultra HD 4K,4,2,78499
SAMSUNG,4.4,40,32,HD,2,1,18256
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
Panasonic,2.3,35,49,Full HD,3,2,72900
SAMSUNG,4.1,20,43,Ultra HD 4K,3,2,49990
SAMSUNG,4.4,20,32,HD,2,1,16999
SAMSUNG,3.7,40,49,Ultra HD 4K,4,3,80999
Infocus,3.5,20,60,Full HD,2,2,70999
SONY,3.8,30,65,Ultra HD 4K,4,3,233288
SAMSUNG,4.4,20,32,HD,2,1,17499
SAMSUNG,4.6,40,32,HD,2,1,23900
Sanyo,4.5,20,55,Ultra HD 4K,3,2,50999
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
ONIDA,4.1,30,5,HD,3,3,24990
SAMSUNG,5,40,65,Ultra HD 4K,4,2,189999
SONY,4.4,20,55,Ultra HD 4K,4,3,107999
LG,4.7,40,65,Ultra HD 4K,4,3,164999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
NOBLE,4,10,32,HD,3,1,16999
SAMSUNG,4.6,20,65,Ultra HD 4K,3,2,159500
CloudWalker,4.3,20,32,HD,3,2,11999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
CloudWalker,3.9,10,43,Ultra HD 4K,3,2,24999
G-TEN,4.1,16,32,HD,2,2,12990
LG,4.3,20,43,Ultra HD 4K,2,1,79990
LG,4.8,20,55,Ultra HD 4K,4,3,99999
NOBLE,4,10,32,HD,3,1,16999
SAMSUNG,4.4,20,32,HD,2,1,17499
Panasonic,3.7,20,65,Ultra HD 4K,3,2,189999
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
IGO,4.1,20,40,Full HD,3,2,17999
Lloyd,4.8,30,65,Ultra HD 4K,4,2,74999
KODAK,4.3,20,32,HD,2,2,11499
Micromax,4.2,10,6,HD,1,1,12499
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
SAMSUNG,4.4,20,32,HD,2,1,22999
SAMSUNG,4.3,20,55,Ultra HD 4K,4,2,121999
Lloyd,4.4,30,50,Ultra HD 4K,4,2,44999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
LG,4.8,20,49,Full HD,3,2,77990
SONY,4.4,8,48,Full HD,2,2,67900
Sansui,4.3,20,43,Ultra HD 4K,3,2,28999
SAMSUNG,4.4,20,32,HD,2,1,16999
CloudWalker,3.7,8,55,Ultra HD 4K,3,2,84500
LG,4.6,40,55,Ultra HD 4K,4,3,324990
SAMSUNG,4.4,20,32,HD,2,1,17499
Noble,4.1,20,55,Ultra HD 4K,3,2,62999
TCL,4,16,65,Ultra HD 4K,3,2,79999
SONY,4.5,30,49,Full HD,2,2,49900
SAMSUNG,4.4,20,43,Ultra HD 4K,3,2,46900
SAMSUNG,4.3,20,50,Ultra HD 4K,3,2,125900
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
LG,5,40,65,Ultra HD 4K,4,3,356990
Panasonic,4.1,20,40,Full HD,2,1,39900
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
KODAK,4.4,24,40,Full HD,3,2,18999
LG,4.3,40,55,Ultra HD 4K,4,3,149999
Panasonic,4.3,20,55,Ultra HD 4K,3,3,65999
Thomson,4.4,24,43,Ultra HD 4K,3,2,25999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
CloudWalker,4.1,8,65,Ultra HD 4K,3,2,59999
Haier,4,20,43,Ultra HD 4K,4,2,34999
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,76999
Micromax,4,24,40,Full HD,3,2,29990
Iffalcon,4.2,30,65,Ultra HD 4K,3,2,84999
SONY,4.8,50,55,Ultra HD 4K,4,3,164999
TCL,4.3,16,65,Ultra HD 4K,2,1,105594
SAMSUNG,4.4,20,32,HD,2,1,17499
Thomson,4.1,20,32,HD,3,2,16999
SVL,4.1,10,32,HD,1,2,13499
Daiwa,3.9,20,5,HD,2,2,12900
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Blaupunkt,4.2,30,32,HD,2,2,6499
Blaupunkt,3.9,30,43,Ultra HD 4K,2,2,21999
Haier,3.9,16,32,HD,2,2,12990
SAMSUNG,3.6,20,43,Full HD,2,1,35900
Intex,3.8,0,50,Full HD,2,2,35990
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
Intex,4.3,0,32,HD,2,2,12595
Blaupunkt,4.1,10,24,HD,1,1,5999
Intex,4.5,0,43,Full HD,2,2,25000
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
LG,4,20,43,Full HD,2,1,34999
SAMSUNG,4.2,10,24,HD,2,2,10999
LG,4.3,20,43,Full HD,3,2,58900
TCL,4.4,30,50,Ultra HD 4K,3,2,49999
SAMSUNG,4.4,20,32,HD,2,1,16999
Blaupunkt,3.7,30,50,Ultra HD 4K,2,2,28999
KODAK,4.4,24,43,Full HD,3,2,22499
Thomson,4.5,30,75,Ultra HD 4K,3,2,105999
SAMSUNG,4.4,20,32,HD,2,1,17499
Micromax,4.2,10,5,HD,1,0,23989
SAMSUNG,4.5,40,43,Full HD,2,1,36999
Panasonic,4.2,20,55,Ultra HD 4K,3,2,59999
Blaupunkt,4.1,30,43,Full HD,3,2,21999
Blaupunkt,4.2,30,40,Full HD,2,2,14499
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Blaupunkt,4.1,30,32,HD,3,2,14999
Blaupunkt,4.1,30,43,Full HD,2,2,18499
Coocaa,4.2,20,50,Ultra HD 4K,3,2,28999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
MarQ,4.2,20,32,HD,3,2,13499
LG,4.1,20,49,Full HD,3,2,77900
Noble,3.7,20,55,Ultra HD 4K,3,2,34490
TCL,4.1,10,32,HD,3,2,16690
SAMSUNG,2.8,20,65,Ultra HD 4K,3,2,106990
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
Panasonic,4.2,20,49,Full HD,2,1,48000
CloudWalker,4.2,20,49,Full HD,3,2,22999
Haier,4.1,0,32,HD,2,2,13700
SAMSUNG,4.4,20,32,HD,2,1,16999
LG,4.1,20,49,Full HD,2,1,64900
Panasonic,2.8,20,49,Ultra HD 4K,3,2,62999
TCL,4.5,16,65,Ultra HD 4K,3,2,68990
Blaupunkt,4.1,60,43,Ultra HD 4K,3,2,27999
Blaupunkt,4.1,30,32,HD,2,2,9999
SAMSUNG,4.4,20,32,HD,2,1,17499
CloudWalker,4.3,20,32,HD,2,2,17989
CloudWalker,4.2,20,32,HD,2,2,17999
Blaupunkt,4.1,30,40,Full HD,2,2,15999
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
Akai,5,20,50,Ultra HD 4K,3,2,37832
Blaupunkt,3.7,30,50,Ultra HD 4K,2,2,28999
Vu,4.5,30,65,Ultra HD 4K,4,3,116000
Micromax,4.2,10,5,HD,1,0,23989
Thomson,4.5,30,75,Ultra HD 4K,3,2,105999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
Blaupunkt,4.1,30,43,Full HD,3,2,21999
SAMSUNG,4.5,40,43,Full HD,2,1,36999
Panasonic,4.2,20,55,Ultra HD 4K,3,2,59999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
